aX,aY,aZ,gX,gY,gZ
0.222,-0.074,0.87,10.376,1.526,13.672
0.248,-0.081,0.882,8.667,3.723,13.55
0.265,-0.093,0.883,6.714,6.531,13.245
0.272,-0.102,0.892,4.944,9.521,12.634
0.274,-0.104,0.879,2.808,12.695,12.024
0.276,-0.1,0.849,0.61,15.747,11.536
0.286,-0.083,0.853,-1.404,19.226,11.292
0.303,-0.06,0.906,-3.662,22.461,11.292
0.319,-0.042,1.009,-5.859,25.085,11.536
0.337,-0.035,1.131,-7.629,26.123,11.719
0.347,-0.042,1.223,-9.399,25.208,11.841
0.348,-0.057,1.277,-10.498,22.583,11.902
0.344,-0.07,1.28,-10.925,19.165,11.719
0.337,-0.078,1.235,-10.803,15.442,11.414
0.334,-0.078,1.191,-9.705,12.573,10.742
0.331,-0.078,1.164,-7.69,10.559,10.071
0.333,-0.08,1.161,-5.798,9.521,9.399
0.344,-0.083,1.194,-3.357,8.972,8.545
0.356,-0.091,1.223,-0.854,8.789,7.263
0.361,-0.103,1.231,1.282,8.728,5.798
0.367,-0.11,1.229,3.296,9.033,4.028
0.365,-0.112,1.217,4.7,9.338,2.136
0.362,-0.116,1.186,5.737,9.888,0.366
0.363,-0.112,1.154,6.287,10.986,-1.16
0.363,-0.104,1.157,6.714,12.329,-2.563
0.361,-0.104,1.171,6.592,13.55,-3.235
0.359,-0.112,1.199,6.348,14.099,-3.967
0.351,-0.12,1.239,6.348,13.855,-5.127
0.345,-0.131,1.266,5.92,12.817,-6.348
0.338,-0.142,1.261,5.554,11.047,-7.507
0.333,-0.147,1.229,5.127,8.667,-8.85
0.328,-0.147,1.194,4.578,6.653,-9.949
0.325,-0.14,1.173,3.906,4.7,-10.925
0.321,-0.129,1.173,3.052,3.113,-11.414
0.316,-0.121,1.164,1.709,1.648,-11.963
0.314,-0.121,1.145,-0.122,0.366,-12.146
0.312,-0.123,1.126,-2.136,-0.305,-12.39
0.311,-0.126,1.119,-4.456,-0.61,-12.512
