aX,aY,aZ,gX,gY,gZ
-0.332,0.31,0.276,184.143,144.958,62.195
-0.337,0.293,0.323,181.946,146.118,64.209
-0.346,0.285,0.345,180.054,147.4,65.796
-0.359,0.285,0.356,178.162,148.499,67.444
-0.373,0.29,0.378,175.537,150.146,69.275
-0.382,0.294,0.434,172.607,152.1,71.655
-0.378,0.298,0.537,169.312,154.175,74.097
-0.378,0.285,0.644,166.016,155.212,76.538
-0.379,0.26,0.738,162.964,155.151,78.186
-0.382,0.237,0.799,159.851,154.358,79.102
-0.395,0.216,0.817,156.311,152.71,79.407
-0.416,0.203,0.836,152.527,151.245,79.407
-0.436,0.199,0.85,147.461,150.33,79.468
-0.449,0.2,0.882,141.907,149.658,79.834
-0.456,0.199,0.928,136.047,148.926,81.055
-0.465,0.176,0.97,130.371,147.705,82.642
-0.469,0.139,1.02,124.512,146.301,83.984
-0.473,0.103,1.072,118.774,144.226,84.656
-0.477,0.077,1.102,113.464,141.785,84.473
-0.48,0.055,1.103,107.91,139.526,83.679
-0.485,0.044,1.082,102.539,137.268,82.764
-0.493,0.034,1.064,96.802,135.315,82.031
-0.502,0.017,1.073,90.637,133.911,81.97
-0.511,-0.008,1.117,84.351,132.751,81.97
-0.523,-0.042,1.159,78.308,131.714,81.726
-0.531,-0.088,1.202,72.876,130.554,80.933
-0.534,-0.128,1.233,67.688,129.272,79.285
-0.532,-0.156,1.237,63.049,127.93,76.904
-0.524,-0.171,1.228,58.777,126.465,74.036
-0.515,-0.176,1.215,54.443,124.878,71.045
-0.505,-0.17,1.218,50.354,123.352,67.932
-0.497,-0.16,1.234,47.058,121.582,65.369
-0.491,-0.166,1.258,44.128,119.385,62.927
-0.493,-0.174,1.296,41.443,117.31,60.791
-0.502,-0.188,1.315,39.185,114.807,58.411
-0.504,-0.211,1.318,37.048,112.671,56.152
-0.5,-0.231,1.312,34.729,110.535,53.65
-0.493,-0.24,1.297,32.349,108.459,51.453
-0.484,-0.242,1.287,29.724,106.567,49.255
-0.473,-0.24,1.293,27.527,104.736,47.058
-0.459,-0.241,1.308,25.696,102.234,45.349
-0.446,-0.239,1.336,24.231,99.854,43.518
-0.438,-0.237,1.371,23.315,96.924,41.748
-0.427,-0.237,1.388,23.132,93.994,40.1
-0.42,-0.237,1.384,23.01,90.698,38.208
-0.414,-0.237,1.369,22.644,87.524,36.499
-0.406,-0.231,1.347,22.278,84.595,35.034
-0.4,-0.228,1.328,21.484,81.97,34.058
-0.391,-0.237,1.32,20.508,79.712,33.386
-0.378,-0.26,1.316,18.921,77.698,32.959
-0.364,-0.277,1.303,16.968,75.623,32.593
-0.352,-0.282,1.287,14.893,73.975,31.921
-0.339,-0.282,1.267,13,72.266,31.067
-0.328,-0.277,1.244,11.475,70.618,30.151
-0.319,-0.269,1.222,10.62,69.336,29.236
-0.311,-0.266,1.213,9.644,68.542,28.32
-0.303,-0.267,1.214,8.789,67.749,27.527
-0.294,-0.271,1.22,7.996,66.895,26.978
-0.282,-0.274,1.225,6.958,66.284,26.55
-0.274,-0.287,1.221,5.432,65.43,26.306
-0.265,-0.301,1.214,3.479,64.514,26.184
-0.259,-0.31,1.205,1.099,63.538,25.574
-0.25,-0.317,1.207,-1.099,62.378,25.024
-0.238,-0.32,1.208,-2.686,61.096,24.17
-0.23,-0.319,1.211,-4.211,59.631,23.254
-0.225,-0.314,1.219,-5.066,58.289,22.278
-0.216,-0.313,1.232,-5.371,56.763,21.301
-0.21,-0.314,1.248,-5.31,54.993,20.203
-0.204,-0.312,1.254,-5.066,53.284,18.799
-0.2,-0.312,1.254,-5.005,51.514,17.517
-0.197,-0.312,1.248,-4.944,49.255,16.235
-0.193,-0.311,1.245,-4.639,47.058,14.954
-0.19,-0.31,1.245,-4.333,44.617,13.428
-0.187,-0.315,1.247,-4.211,42.297,12.207
-0.184,-0.323,1.252,-4.028,39.551,11.169
-0.179,-0.333,1.256,-3.54,37.048,9.888
-0.175,-0.343,1.258,-3.052,34.363,8.545
-0.17,-0.349,1.256,-2.502,31.921,6.836
-0.164,-0.35,1.246,-1.831,28.87,5.127
-0.16,-0.345,1.229,-1.16,25.818,3.418
-0.16,-0.337,1.214,-0.427,23.071,1.587
-0.16,-0.332,1.202,0.244,20.447,-0.305
-0.162,-0.325,1.191,0.671,18.066,-1.953
-0.166,-0.322,1.178,1.038,16.113,-3.052
-0.166,-0.326,1.169,1.282,13.977,-3.906
-0.162,-0.329,1.164,0.916,12.146,-5.066
-0.155,-0.33,1.155,0.671,10.376,-6.409
