aX,aY,aZ,gX,gY,gZ
0.306,-0.377,1.049,0.122,3.296,-14.648
0.31,-0.373,1.009,-0.244,2.075,-14.282
0.311,-0.364,0.985,-0.244,0.916,-14.099
0.315,-0.355,1.002,-0.366,0.122,-13.611
0.312,-0.351,1.047,-0.549,-0.916,-12.756
0.303,-0.353,1.072,-0.732,-2.441,-11.841
0.295,-0.357,1.064,-1.221,-4.15,-10.864
0.291,-0.359,1.042,-1.343,-5.981,-10.193
0.289,-0.356,1.015,-1.343,-7.812,-9.277
0.289,-0.347,1.006,-1.343,-9.155,-8.301
0.287,-0.336,1.042,-1.831,-10.315,-7.08
0.278,-0.336,1.081,-2.625,-11.719,-5.676
0.266,-0.345,1.089,-3.967,-13.367,-4.395
0.252,-0.362,1.072,-5.371,-15.015,-3.601
0.236,-0.37,1.039,-6.653,-16.296,-2.93
0.221,-0.365,0.986,-7.568,-17.151,-2.441
0.211,-0.358,0.934,-8.118,-17.273,-2.136
0.198,-0.349,0.908,-8.24,-16.724,-1.77
0.187,-0.331,0.898,-8.24,-15.808,-1.038
0.182,-0.315,0.93,-8.606,-14.16,-0.183
0.175,-0.305,0.984,-9.155,-12.39,1.16
0.166,-0.306,1.016,-9.949,-11.047,2.441
0.157,-0.317,1.034,-10.925,-9.827,3.662
0.152,-0.329,1.036,-11.414,-9.277,4.639
0.15,-0.327,1.029,-11.658,-8.911,5.249
0.147,-0.321,1.003,-11.475,-8.85,5.798
0.14,-0.316,0.982,-11.169,-9.033,6.348
0.136,-0.309,0.981,-10.864,-8.972,7.019
0.132,-0.302,0.994,-10.864,-8.606,7.996
0.128,-0.3,1.002,-10.925,-8.362,8.728
0.125,-0.302,1.005,-10.925,-8.118,9.338
0.122,-0.309,1.008,-11.108,-8.118,10.01
0.119,-0.319,1.026,-11.108,-8.484,10.437
0.113,-0.329,1.064,-11.108,-9.094,10.803
0.107,-0.335,1.107,-11.292,-10.193,10.864
0.1,-0.341,1.158,-11.597,-11.658,10.742
0.1,-0.341,1.23,-12.024,-13.489,10.62
0.096,-0.34,1.302,-12.817,-15.564,10.498
0.083,-0.352,1.348,-14.099,-18.127,10.315
0.066,-0.367,1.36,-15.503,-20.813,9.888
0.051,-0.374,1.346,-16.174,-23.499,8.911
0.037,-0.379,1.319,-16.602,-25.757,7.69
0.024,-0.376,1.302,-16.418,-27.649,6.226
0.014,-0.369,1.317,-15.747,-28.931,4.639
0.005,-0.364,1.356,-14.465,-29.968,3.113
-0.011,-0.36,1.396,-12.817,-30.945,1.648
-0.03,-0.36,1.419,-10.986,-32.227,0
-0.046,-0.363,1.408,-8.911,-33.081,-1.526
-0.06,-0.359,1.383,-6.348,-34.058,-3.113
-0.071,-0.348,1.341,-3.784,-34.607,-4.517
-0.075,-0.33,1.277,-1.282,-34.363,-6.348
-0.08,-0.311,1.203,1.953,-33.264,-7.751
-0.091,-0.298,1.148,5.31,-31.433,-8.972
-0.108,-0.289,1.114,9.094,-28.931,-10.071
-0.121,-0.285,1.088,13.184,-26.062,-10.742
-0.134,-0.287,1.069,17.151,-23.499,-11.23
-0.142,-0.291,1.054,20.63,-21.179,-11.78
-0.144,-0.286,1.044,23.682,-18.616,-11.963
-0.139,-0.28,1.027,25.818,-16.724,-12.146
-0.134,-0.277,1.001,27.283,-15.015,-11.902
-0.13,-0.274,0.971,28.015,-13.306,-11.353
-0.125,-0.275,0.945,28.137,-11.414,-10.437
-0.126,-0.283,0.936,27.588,-9.705,-9.399
-0.132,-0.295,0.947,26.184,-8.057,-8.118
-0.135,-0.31,0.964,24.231,-7.019,-6.836
-0.137,-0.325,0.98,21.606,-6.958,-5.554
-0.137,-0.34,0.981,18.494,-7.385,-4.517
-0.135,-0.346,0.969,15.442,-8.057,-3.906
-0.129,-0.345,0.939,12.268,-8.667,-3.174
-0.126,-0.343,0.907,9.338,-9.216,-2.258
-0.124,-0.345,0.874,6.836,-9.338,-1.16
-0.125,-0.346,0.849,5.188,-8.789,0.061
-0.124,-0.352,0.836,4.211,-7.812,1.16
-0.126,-0.367,0.842,3.967,-6.897,2.258
-0.129,-0.386,0.857,3.845,-5.798,3.235
-0.129,-0.398,0.869,4.578,-5.31,3.784
-0.126,-0.404,0.873,5.249,-5.188,4.028
-0.122,-0.407,0.872,5.92,-4.944,4.211
-0.121,-0.408,0.868,7.019,-4.7,4.333
-0.118,-0.409,0.857,7.874,-4.395,4.578
-0.116,-0.413,0.849,8.972,-3.784,4.822
-0.118,-0.423,0.851,10.315,-3.052,4.944
-0.119,-0.438,0.866,11.292,-2.38,5.066
-0.121,-0.453,0.885,12.085,-1.526,5.188
-0.121,-0.465,0.902,12.39,-1.038,4.944
-0.116,-0.471,0.908,12.146,-0.854,4.578
-0.11,-0.472,0.907,11.414,-0.549,4.333
-0.105,-0.474,0.906,10.559,-0.427,4.089
-0.102,-0.476,0.904,9.766,-0.122,3.784
-0.103,-0.479,0.904,8.545,0.427,3.54
-0.104,-0.483,0.908,7.507,0.732,3.235
-0.106,-0.49,0.916,6.653,1.038,2.686
-0.105,-0.497,0.928,5.371,1.648,2.319
-0.103,-0.5,0.935,4.272,1.831,1.465
-0.096,-0.497,0.941,3.052,2.075,0.732
-0.089,-0.49,0.944,1.648,2.319,0.305
-0.084,-0.484,0.947,-0.183,2.563,-0.061
-0.081,-0.476,0.946,-1.831,2.869,-0.122
-0.08,-0.473,0.943,-2.747,3.418,-0.244
-0.08,-0.467,0.945,-3.662,3.845,-0.244
-0.076,-0.461,0.95,-4.333,4.333,-0.183
-0.073,-0.453,0.951,-4.517,4.761,-0.122
-0.068,-0.451,0.958,-4.272,5.127,-0.122
-0.064,-0.445,0.964,-3.784,5.432,-0.061
-0.058,-0.436,0.973,-3.052,5.737,0.122
-0.053,-0.429,0.981,-2.197,5.676,0.305
-0.052,-0.42,0.984,-1.404,5.615,0.427
-0.049,-0.411,0.984,-0.549,5.31,0.793
-0.045,-0.404,0.981,0.244,4.822,1.16
-0.04,-0.399,0.974,0.671,4.822,1.587
-0.036,-0.397,0.975,1.282,4.7,2.197
-0.034,-0.4,0.985,1.709,4.272,2.625
-0.032,-0.406,0.996,2.014,4.028,3.113
-0.03,-0.409,0.998,2.075,3.357,3.54
-0.026,-0.411,0.991,2.197,2.747,3.479
-0.021,-0.41,0.977,1.77,2.258,3.662
,,,,,
-0.039,-0.452,1.188,2.808,0.732,3.174
-0.044,-0.469,1.241,2.258,0.305,3.296
-0.044,-0.486,1.308,1.587,-0.427,3.174
-0.047,-0.5,1.367,0.916,-1.343,3.052
-0.047,-0.51,1.402,0.366,-2.502,2.686
-0.041,-0.517,1.414,-0.122,-3.601,2.136
-0.034,-0.519,1.411,-0.61,-4.578,1.465
-0.028,-0.521,1.41,-0.793,-5.005,1.099
-0.021,-0.522,1.412,-0.732,-5.31,0.61
-0.012,-0.521,1.406,-0.305,-5.249,0.244
-0.005,-0.524,1.392,0.183,-4.517,0.183
-0.001,-0.532,1.379,0.916,-3.662,0
0.001,-0.538,1.374,1.892,-2.747,-0.488
0.008,-0.539,1.361,2.686,-1.587,-1.16
0.027,-0.519,1.336,3.357,-0.427,-2.014
0.05,-0.487,1.294,4.15,0.488,-2.625
0.067,-0.447,1.244,4.578,1.709,-2.747
0.085,-0.41,1.213,5.066,3.174,-2.625
0.1,-0.383,1.206,5.005,4.517,-1.892
0.112,-0.37,1.214,4.578,5.615,-0.488
0.118,-0.37,1.23,3.784,6.042,0.732
0.128,-0.375,1.247,2.747,5.554,1.465
0.137,-0.377,1.256,1.526,4.578,2.136
0.151,-0.373,1.258,0.61,3.052,2.38
0.171,-0.359,1.238,0.305,1.404,2.563
0.187,-0.346,1.199,0.427,-0.427,2.686
0.193,-0.344,1.163,0.977,-2.136,2.93
0.199,-0.354,1.145,2.38,-3.54,3.052
0.199,-0.375,1.141,3.784,-4.944,2.747
0.195,-0.401,1.129,5.676,-6.287,2.075
0.203,-0.416,1.09,7.507,-7.751,0.793
0.217,-0.407,1.036,9.338,-8.972,-0.854
0.227,-0.395,0.991,11.108,-9.766,-2.319
0.233,-0.386,0.936,12.573,-9.338,-3.174
0.236,-0.385,0.893,13.733,-8.118,-3.845
0.233,-0.39,0.874,14.832,-6.348,-4.761
0.23,-0.403,0.885,15.808,-4.517,-5.859
0.223,-0.42,0.903,16.235,-2.869,-6.958
0.222,-0.434,0.917,16.602,-1.77,-8.484
0.232,-0.43,0.913,16.602,-0.793,-10.01
0.251,-0.41,0.884,16.418,0,-11.353
0.264,-0.389,0.87,15.991,1.099,-12.207
0.268,-0.381,0.881,14.954,2.563,-12.329
0.261,-0.399,0.89,13.611,4.15,-12.085
0.238,-0.433,0.913,12.268,5.554,-12.024
0.214,-0.453,0.945,11.047,6.104,-12.39
0.208,-0.452,0.969,9.949,6.104,-12.939
0.215,-0.446,0.983,8.728,5.005,-13.733
0.215,-0.43,0.976,7.629,3.357,-14.709
0.214,-0.416,0.942,6.714,1.587,-15.198
0.206,-0.402,0.901,6.165,-0.061,-15.259
0.193,-0.383,0.849,5.554,-1.038,-15.137
0.195,-0.353,0.787,5.676,-1.526,-14.771
0.195,-0.333,0.729,5.981,-1.16,-14.038
0.189,-0.333,0.696,6.042,-0.366,-13
0.178,-0.338,0.7,6.47,0.244,-11.963
0.168,-0.346,0.715,6.897,0.671,-10.864
0.163,-0.353,0.752,6.836,0.488,-9.949
0.16,-0.342,0.807,7.019,-0.244,-8.85
0.152,-0.333,0.829,6.897,-1.77,-7.507
0.129,-0.341,0.801,6.531,-3.479,-5.859
0.099,-0.353,0.744,6.348,-4.883,-4.395
0.075,-0.373,0.698,7.08,-5.737,-3.662
0.048,-0.398,0.693,7.996,-6.287,-3.235
0.023,-0.407,0.698,9.399,-6.897,-3.052
-0.003,-0.415,0.72,10.437,-8.118,-2.991
-0.034,-0.416,0.764,10.803,-9.888,-3.113
-0.054,-0.405,0.824,10.62,-12.207,-3.296
-0.058,-0.391,0.84,9.521,-14.771,-3.235
-0.059,-0.383,0.792,8.301,-17.273,-2.991
-0.063,-0.382,0.707,7.019,-19.043,-2.441
-0.063,-0.39,0.626,6.592,-19.653,-1.953
-0.074,-0.411,0.578,7.08,-19.043,-1.282
-0.1,-0.442,0.58,8.423,-17.639,-0.916
-0.12,-0.456,0.606,9.949,-16.418,-1.16
-0.135,-0.456,0.648,11.414,-15.259,-1.282
-0.149,-0.451,0.692,12.329,-14.771,-1.831
-0.16,-0.449,0.717,12.329,-14.832,-2.136
-0.178,-0.451,0.72,12.024,-15.259,-2.502
-0.192,-0.454,0.72,11.536,-15.625,-2.808
-0.193,-0.45,0.705,10.742,-15.808,-2.991
-0.189,-0.446,0.68,10.254,-15.503,-3.235
-0.184,-0.458,0.668,10.01,-14.526,-3.418
-0.184,-0.47,0.677,9.949,-13.55,-3.54
-0.193,-0.479,0.717,9.399,-12.451,-3.723
-0.205,-0.485,0.783,9.033,-11.719,-3.967
-0.207,-0.484,0.829,8.118,-11.597,-4.333
-0.199,-0.48,0.833,6.714,-11.902,-4.822
-0.193,-0.474,0.818,5.615,-12.329,-5.31
-0.189,-0.468,0.806,4.883,-12.573,-5.676
-0.203,-0.464,0.813,4.15,-12.573,-5.859
-0.222,-0.465,0.836,3.906,-12.817,-5.981
-0.233,-0.463,0.855,3.601,-13.184,-6.042
-0.235,-0.456,0.869,3.54,-13.367,-5.859
-0.236,-0.452,0.88,3.418,-13.611,-5.615
-0.233,-0.455,0.879,3.418,-13.916,-5.188
-0.234,-0.459,0.868,3.296,-14.221,-4.578
-0.239,-0.463,0.854,3.174,-14.282,-4.15
-0.249,-0.467,0.848,2.991,-14.099,-3.784
-0.258,-0.465,0.848,2.869,-13.794,-3.479
-0.267,-0.458,0.834,2.686,-13.611,-2.991
-0.279,-0.447,0.818,2.38,-13.367,-2.319
-0.286,-0.439,0.81,1.892,-12.817,-1.648
-0.291,-0.43,0.822,1.587,-12.146,-0.671
-0.294,-0.427,0.842,0.916,-11.414,0.61
-0.305,-0.43,0.855,0.183,-10.681,1.892
-0.321,-0.442,0.854,-0.671,-10.315,3.296
-0.334,-0.455,0.84,-1.282,-9.949,4.456
-0.343,-0.466,0.824,-1.648,-9.583,5.31
-0.349,-0.479,0.801,-1.77,-9.277,5.981
-0.359,-0.491,0.768,-1.465,-8.362,6.531
-0.367,-0.501,0.74,-0.916,-7.446,6.958
-0.373,-0.514,0.735,-0.305,-6.348,7.324
-0.38,-0.526,0.746,0.305,-4.822,7.385
-0.385,-0.537,0.764,0.854,-3.357,7.385
-0.392,-0.546,0.775,1.587,-2.197,7.141
-0.403,-0.557,0.784,2.075,-1.038,6.836
-0.412,-0.569,0.786,2.319,-0.061,6.226
-0.419,-0.578,0.778,2.136,0.671,5.554
-0.418,-0.584,0.761,1.892,1.831,4.7
-0.416,-0.596,0.737,1.343,2.869,3.418
-0.417,-0.604,0.713,0.732,4.395,2.197
-0.413,-0.611,0.697,0.122,6.348,0.916
-0.406,-0.612,0.688,-0.427,8.423,-0.549
-0.398,-0.607,0.685,-1.099,10.803,-1.892
-0.386,-0.599,0.69,-1.709,13.245,-2.808
-0.378,-0.586,0.695,-2.747,15.442,-3.601
-0.37,-0.574,0.702,-3.723,17.639,-4.333
-0.356,-0.566,0.701,-4.761,19.531,-5.188
-0.342,-0.561,0.703,-5.92,21.484,-5.981
-0.33,-0.552,0.717,-6.714,23.254,-6.714
-0.311,-0.535,0.738,-7.08,24.597,-7.202
-0.294,-0.51,0.757,-7.507,25.452,-7.629
-0.281,-0.485,0.773,-8.057,26.001,-7.69
-0.258,-0.458,0.782,-8.667,26.123,-7.202
-0.233,-0.437,0.782,-9.277,26.245,-6.531
-0.21,-0.422,0.782,-9.827,26.245,-5.432
-0.187,-0.409,0.789,-10.071,25.574,-4.272
-0.164,-0.4,0.804,-10.254,25.024,-3.235
-0.141,-0.393,0.82,-10.315,24.231,-2.197
-0.126,-0.389,0.832,-9.888,23.193,-0.793
-0.115,-0.383,0.845,-9.399,21.973,0.549
-0.109,-0.384,0.852,-8.667,20.569,2.014
-0.099,-0.382,0.848,-7.935,19.104,3.418
-0.086,-0.379,0.828,-7.385,17.822,4.822
-0.073,-0.379,0.811,-6.775,16.968,6.226
-0.057,-0.385,0.803,-6.409,16.724,7.629
-0.033,-0.396,0.791,-5.981,16.846,8.85
-0.009,-0.41,0.78,-5.859,17.7,9.766
