aX,aY,aZ,gX,gY,gZ
-0.182,-0.047,1.542,-31.372,117.798,-0.427
-0.191,-0.025,1.559,-32.41,113.831,-0.854
-0.198,-0.008,1.587,-31.982,109.253,-0.977
-0.205,0.008,1.628,-30.151,103.577,-0.916
-0.209,0.027,1.652,-26.672,97.046,-0.854
-0.224,0.043,1.643,-22.278,90.149,-0.61
-0.24,0.054,1.61,-17.761,83.191,-0.244
-0.253,0.062,1.582,-13.184,76.294,0.244
-0.255,0.064,1.567,-9.338,69.824,1.16
-0.252,0.063,1.565,-6.409,63.416,2.441
-0.24,0.062,1.58,-4.211,56.885,4.089
-0.227,0.061,1.602,-2.563,49.866,5.737
-0.21,0.064,1.61,-1.038,42.725,7.202
-0.197,0.068,1.594,1.038,35.156,8.606
-0.191,0.076,1.537,3.357,27.527,9.705
-0.192,0.073,1.459,5.371,20.569,10.498
-0.189,0.066,1.398,6.409,14.771,11.108
-0.182,0.053,1.358,5.798,10.498,11.536
-0.169,0.036,1.343,4.089,7.08,11.902
-0.149,0.016,1.328,1.648,4.028,11.902
-0.135,-0.001,1.295,-1.648,1.038,12.024
-0.123,-0.011,1.256,-4.761,-1.953,11.658
-0.112,-0.01,1.208,-7.385,-4.333,10.925
-0.108,-0.006,1.154,-8.85,-6.409,9.827
-0.1,0,1.112,-9.705,-7.385,8.484
-0.09,0.009,1.079,-9.338,-7.935,6.775
-0.085,0.02,1.055,-8.606,-7.874,5.005
-0.073,0.028,1.049,-7.69,-7.08,3.418
-0.064,0.032,1.053,-6.531,-6.226,2.014
-0.057,0.038,1.057,-5.615,-5.554,0.916
-0.046,0.047,1.073,-4.761,-5.249,-0.122
-0.031,0.052,1.094,-3.174,-5.249,-0.671
-0.014,0.061,1.128,-1.221,-5.859,-1.404
0,0.067,1.15,1.221,-7.263,-2.075
0.014,0.07,1.153,3.967,-9.155,-2.625
0.025,0.073,1.142,6.653,-11.414,-2.991
0.029,0.071,1.116,8.911,-13.672,-3.54
0.03,0.066,1.074,10.742,-15.259,-4.028
0.024,0.061,1.039,11.414,-15.869,-4.333
0.024,0.061,1.029,10.986,-15.625,-4.883
0.028,0.066,1.039,9.766,-14.893,-5.188
0.038,0.073,1.067,8.301,-14.099,-5.432
0.053,0.083,1.107,6.958,-14.038,-5.371
0.069,0.094,1.135,6.104,-14.648,-5.31
0.08,0.105,1.138,5.554,-16.479,-5.31
0.084,0.111,1.107,4.883,-18.372,-5.005
0.08,0.11,1.047,3.784,-19.775,-4.944
0.068,0.103,0.98,2.197,-20.264,-4.578
0.057,0.096,0.922,-0.305,-19.348,-4.272
0.052,0.087,0.892,-3.174,-17.029,-4.028
0.054,0.086,0.891,-6.47,-13.855,-3.54
0.06,0.089,0.915,-8.789,-10.864,-3.052
0.071,0.095,0.953,-10.437,-8.423,-2.441
0.083,0.105,0.985,-10.925,-6.775,-1.953
0.09,0.111,0.993,-9.705,-6.042,-1.526
0.091,0.113,0.984,-7.874,-5.859,-1.282
0.084,0.109,0.968,-5.859,-5.554,-1.099
0.077,0.097,0.962,-3.723,-4.761,-1.038
0.078,0.089,0.974,-2.014,-3.723,-1.16
0.08,0.087,0.991,-0.671,-2.502,-1.038
0.086,0.086,1.01,0.854,-1.831,-0.793
0.09,0.091,1.034,2.258,-1.709,-0.549
0.094,0.095,1.048,3.418,-1.953,-0.244
0.098,0.096,1.053,4.761,-2.747,-0.122
0.095,0.092,1.046,5.676,-3.357,0.244
0.089,0.084,1.036,5.737,-3.784,0.61
0.085,0.074,1.035,5.371,-4.028,0.854
0.082,0.066,1.04,4.211,-4.089,1.099
0.08,0.065,1.041,2.686,-4.15,1.465
0.075,0.066,1.041,0.916,-4.089,1.77
0.07,0.07,1.035,-0.488,-4.15,2.197
0.062,0.076,1.018,-1.282,-4.211,2.808
