aX,aY,aZ,gX,gY,gZ
0.275,-0.294,0.96,1.404,-0.61,-0.061
0.278,-0.291,0.958,1.465,-0.488,0.061
0.28,-0.29,0.955,1.587,-0.549,0.244
0.281,-0.289,0.95,1.465,-0.671,0.183
0.281,-0.291,0.952,2.136,-0.977,0.244
0.283,-0.295,0.956,2.319,-1.526,0.244
0.285,-0.292,0.962,2.258,-1.831,0.366
0.286,-0.285,0.966,2.197,-1.404,0.793
0.287,-0.282,0.964,1.77,-0.854,0.671
0.288,-0.281,0.953,1.221,-0.244,0.427
0.288,-0.281,0.945,1.099,-0.244,0.305
0.288,-0.282,0.943,0.854,-0.671,-0.061
0.288,-0.285,0.945,1.038,-1.221,-0.366
0.285,-0.285,0.95,1.099,-1.77,-0.549
0.282,-0.284,0.954,1.404,-2.197,-0.488
0.278,-0.289,0.964,2.319,-2.869,-0.671
,,,,,
-0.284,-0.263,1.151,-8.24,-54.382,22.095
-0.293,-0.284,1.123,-25.024,-43.457,27.893
-0.31,-0.288,1.073,-37.72,-34.241,36.133
-0.307,-0.212,1.003,-53.894,-25.33,46.509
-0.324,-0.1,0.882,-66.65,-17.273,54.443
-0.354,-0.033,0.708,-70.74,-14.771,54.749
-0.364,-0.032,0.604,-63.416,-24.597,46.57
-0.365,-0.051,0.674,-41.809,-49.561,38.269
-0.375,-0.098,0.905,-18.921,-78.064,31.799
-0.39,-0.16,1.16,3.174,-96.436,26.672
-0.413,-0.227,1.351,16.541,-98.572,22.278
-0.416,-0.315,1.395,20.874,-85.51,19.165
-0.427,-0.383,1.36,20.691,-66.895,21.912
-0.437,-0.402,1.304,18.555,-50.476,31.433
-0.444,-0.385,1.214,17.151,-36.072,43.701
-0.445,-0.329,1.117,12.573,-24.719,57.068
-0.453,-0.241,1.016,1.038,-16.479,69.092
-0.449,-0.142,0.921,-11.169,-10.925,76.538
-0.441,-0.062,0.848,-19.775,-9.338,79.224
-0.434,-0.004,0.796,-29.541,-10.437,77.393
-0.431,0.038,0.751,-41.931,-10.681,72.937
-0.426,0.036,0.752,-37.537,-16.052,66.589
-0.413,-0.001,0.873,-23.499,-31.372,58.655
-0.401,-0.052,1.075,-1.526,-48.157,51.514
-0.387,-0.095,1.216,17.517,-51.27,47.729
-0.395,-0.112,1.244,17.456,-39.307,48.462
-0.402,-0.085,1.186,0.366,-19.592,52.002
-0.399,-0.054,1.057,-17.395,-1.099,55.908
-0.401,-0.028,0.931,-24.841,9.521,58.899
-0.411,0.023,0.888,-33.508,10.376,59.692
-0.41,0.045,0.89,-38.208,7.568,55.176
-0.391,0.05,0.884,-33.875,5.432,48.767
-0.367,0.059,0.911,-36.621,2.319,43.03
-0.349,0.059,0.938,-39.917,-1.221,38.513
-0.35,0.047,0.961,-36.377,-4.822,34.18
-0.353,0.073,0.997,-33.508,-7.629,29.785
-0.331,0.126,1.017,-26.306,-7.874,23.987
-0.325,0.107,1.013,-10.925,-7.385,14.648
-0.333,0.017,1.037,-5.127,-9.155,5.188
