aX,aY,aZ,gX,gY,gZ
0.043,-0.091,1.008,-2.869,-8.179,3.052
0.046,-0.085,0.998,-2.502,-7.874,2.686
0.047,-0.077,0.991,-2.319,-7.507,2.319
0.046,-0.066,0.995,-2.014,-7.263,2.136
0.038,-0.062,1.01,-1.953,-6.775,2.136
0.027,-0.061,1.033,-1.953,-6.653,2.136
0.02,-0.062,1.057,-2.075,-6.531,2.075
0.015,-0.061,1.068,-2.441,-6.714,2.075
0.016,-0.054,1.052,-2.502,-7.202,2.014
0.02,-0.051,1.022,-2.38,-7.446,1.953
0.024,-0.045,0.995,-2.38,-7.507,2.075
0.023,-0.04,0.98,-2.014,-7.263,2.197
0.013,-0.038,0.984,-1.587,-6.653,2.563
-0.001,-0.039,1.008,-0.854,-6.165,3.052
-0.012,-0.037,1.038,-0.183,-5.493,3.357
-0.018,-0.037,1.064,0.549,-5.31,3.723
-0.014,-0.037,1.086,0.977,-5.493,4.089
-0.01,-0.036,1.083,1.038,-5.493,4.395
-0.003,-0.038,1.065,1.343,-5.554,4.7
0.003,-0.04,1.041,1.648,-5.676,4.761
0.01,-0.04,1.019,1.831,-5.554,5.005
0.011,-0.041,1.007,1.953,-5.188,5.249
0.011,-0.043,1,1.953,-4.7,5.371
0.008,-0.048,0.993,2.014,-4.089,5.432
0.002,-0.051,0.989,2.136,-3.418,5.371
0.003,-0.052,0.993,2.197,-2.869,5.371
0.006,-0.056,0.99,2.136,-2.563,5.249
0.003,-0.057,0.984,2.441,-2.075,5.005
0.003,-0.053,0.996,2.563,-1.77,4.822
0.003,-0.051,1.026,2.991,-1.526,4.822
0.003,-0.048,1.054,3.174,-1.648,4.883
0.005,-0.049,1.074,3.418,-2.014,4.883
0.005,-0.051,1.075,3.357,-2.38,5.127
0.006,-0.056,1.069,3.418,-2.747,5.31
0.007,-0.064,1.058,3.235,-2.93,5.249
0.008,-0.072,1.033,3.174,-3.235,5.188
0.014,-0.076,1.013,3.174,-3.54,5.066
